# data = ppd00_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	
T0000000_ch1	3	0	0	2	
T0000001_ch1	12	0	0	6	
T0000002_ch1	0	0	0	1	
T0000003_ch1	5	0	0	6	
T0000004_ch1	1	0	0	15	
T0000005_ch1	2	0	0	1	
T0000006_ch1	1	0	0	0	
T0000007_ch1	4	0	0	6	
T0000008_ch1	1	0	0	6	
T0000009_ch1	0	0	0	1	
T0000010_ch1	0	0	0	1	
T0000011_ch1	1	0	0	1	
T0000012_ch1	0	0	0	5	
T0000013_ch1	0	0	0	4	
T0000014_ch1	0	0	0	2	
T0000015_ch1	5	0	0	2	
T0000016_ch1	0	0	0	1	
T0000017_ch1	6	0	0	0	
T0000018_ch1	3	0	0	3	
T0000019_ch1	0	0	0	2	
T0000020_ch1	4	0	0	4	
T0000021_ch1	0	0	0	4	
T0000022_ch1	1	0	0	4	
T0000023_ch1	0	0	0	1	
T0000024_ch1	0	0	0	2	
TOTAL		0	0	80	
P		0.0000	0.0000	1.0000	
