# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-17 15:21:58	Duration	
T0000000_ch1	3	0	0	0	2012-09-17 15:22:03	0.6	
T0000001_ch1	6	1	0	10	2012-09-17 15:22:13	3.0	
T0000002_ch1	4	2	0	4	2012-09-17 15:22:17	1.2	
T0000003_ch1	6	0	1	0	2012-09-17 15:22:19	0.6	
T0000004_ch1	5	0	0	4	2012-09-17 15:22:23	1.8	
T0000005_ch1	1	2	0	1	2012-09-17 15:22:26	0.6	
T0000006_ch1	1	1	1	2	2012-09-17 15:22:28	1.0	
T0000007_ch1	1	1	0	1	2012-09-17 15:22:31	1.6	
T0000008_ch1	1	0	0	1	2012-09-17 15:22:39	0.8	
T0000009_ch1	2	1	0	1	2012-09-17 15:22:42	1.0	
T0000010_ch1	1	4	1	2	2012-09-17 15:22:43	1.2	
T0000011_ch1	3	0	0	4	2012-09-17 15:22:49	1.7	
T0000012_ch1	2	1	1	3	2012-09-17 15:22:56	1.5	
T0000013_ch1	3	0	0	0	2012-09-17 15:23:02	0.6	
T0000014_ch1	7	1	0	3	2012-09-17 15:23:06	1.2	
T0000015_ch1	4	0	1	0	2012-09-17 15:23:07	0.6	
T0000016_ch1	4	1	0	0	2012-09-17 15:23:10	0.6	
T0000017_ch1	5	1	0	0	2012-09-17 15:23:12	0.6	
T0000018_ch1	2	0	0	3	2012-09-17 15:23:13	1.5	
T0000019_ch1	2	2	0	2	2012-09-17 15:23:21	1.0	
T0000020_ch1	3	3	0	5	2012-09-17 15:23:24	1.5	
T0000021_ch1	3	2	0	2	2012-09-17 15:23:26	1.5	
T0000022_ch1	4	5	0	2	2012-09-17 15:23:36	1.9	
T0000023_ch1	2	3	1	0	2012-09-17 15:23:39	0.7	
T0000024_ch1	6	2	0	3	2012-09-17 15:23:40	1.5	
T0000025_ch1	4	1	0	1	2012-09-17 15:23:42	0.6	
T0000026_ch1	4	2	1	1	2012-09-17 15:23:43	1.1	
T0000027_ch1	2	1	1	0	2012-09-17 15:23:51	0.6	
T0000028_ch1	3	0	0	2	2012-09-17 15:23:52	1.2	
T0000029_ch1	6	2	0	0	2012-09-17 15:23:57	0.6	
T0000030_ch1	5	0	0	4	2012-09-17 15:23:58	1.7	
T0000031_ch1	4	1	0	0	2012-09-17 15:24:01	0.6	
T0000032_ch1	3	0	0	3	2012-09-17 15:24:03	1.4	
