# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-21 15:49:53	Duration	
T0000000_ch1	9	2	0	0	2012-09-21 15:49:55	1.6	
T0000001_ch1	2	0	0	18	2012-09-21 15:49:59	10.7	
T0000002_ch1	0	0	0	5	2012-09-21 15:50:10	1.7	
T0000003_ch1	0	0	0	3	2012-09-21 15:50:12	1.3	
T0000004_ch1	1	0	0	2	2012-09-21 15:50:13	1.0	
T0000005_ch1	1	0	0	9	2012-09-21 15:50:14	3.3	
T0000006_ch1	0	0	0	2	2012-09-21 15:50:18	0.6	
T0000007_ch1	3	0	0	1	2012-09-21 15:50:19	0.7	
T0000008_ch1	3	0	0	1	2012-09-21 15:50:20	0.6	
T0000009_ch1	11	2	0	2	2012-09-21 15:50:24	10.5	
T0000010_ch1	0	0	0	2	2012-09-21 15:50:35	0.9	
T0000011_ch1	0	0	0	4	2012-09-21 15:50:36	1.6	
T0000012_ch1	0	0	0	1	2012-09-21 15:50:39	0.6	
T0000013_ch1	0	0	0	1	2012-09-21 15:50:40	0.6	
T0000014_ch1	0	0	0	1	2012-09-21 15:50:42	0.6	
T0000015_ch1	0	0	0	1	2012-09-21 15:50:44	0.6	
T0000016_ch1	0	0	0	1	2012-09-21 15:50:46	0.7	
T0000017_ch1	0	0	0	1	2012-09-21 15:50:47	0.6	
T0000018_ch1	0	0	0	1	2012-09-21 15:50:49	0.6	
T0000019_ch1	0	1	0	0	2012-09-21 15:50:54	1.6	
T0000020_ch1	1	0	1	0	2012-09-21 15:51:25	0.7	
T0000021_ch1	4	0	0	2	2012-09-21 15:51:27	1.1	
T0000022_ch1	8	0	0	1	2012-09-21 15:51:33	1.8	
T0000023_ch1	6	1	0	0	2012-09-21 15:51:35	2.2	
T0000024_ch1	0	0	0	5	2012-09-21 15:51:37	2.3	
T0000025_ch1	5	0	0	1	2012-09-21 15:51:42	0.7	
T0000026_ch1	2	0	0	1	2012-09-21 15:51:46	1.1	
T0000027_ch1	1	0	0	1	2012-09-21 15:51:47	0.6	
T0000028_ch1	6	1	0	0	2012-09-21 15:51:50	1.0	
T0000029_ch1	5	1	0	0	2012-09-21 15:51:52	1.2	
T0000030_ch1	3	1	0	0	2012-09-21 15:51:55	1.0	
T0000031_ch1	0	0	0	2	2012-09-21 15:51:56	1.2	
T0000032_ch1	5	0	0	1	2012-09-21 15:51:58	2.6	
T0000033_ch1	9	1	0	0	2012-09-21 15:52:11	2.7	
T0000034_ch1	9	1	0	3	2012-09-21 15:52:14	5.5	
T0000035_ch1	0	0	0	1	2012-09-21 15:52:20	0.6	
T0000036_ch1	0	0	0	1	2012-09-21 15:52:21	0.6	
T0000037_ch1	13	1	3	0	2012-09-21 15:52:27	6.3	
T0000038_ch1	4	2	1	0	2012-09-21 15:52:34	2.0	
T0000039_ch1	3	0	0	0	2012-09-21 15:52:39	1.0	
