# data = ppd21A_first15_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	
T0000000_ch1	10	1	0	0	
T0000001_ch1	4	0	1	0	
T0000002_ch1	1	0	1	0	
T0000003_ch1	4	1	0	0	
T0000004_ch1	1	0	0	1	
T0000005_ch1	2	1	0	0	
T0000006_ch1	6	2	0	0	
T0000007_ch1	0	0	0	2	
T0000008_ch1	0	0	0	1	
T0000009_ch1	2	0	0	0	
T0000010_ch1	1	0	0	0	
T0000011_ch1	1	0	0	0	
T0000012_ch1	4	2	0	0	
T0000013_ch1	2	1	0	0	
T0000014_ch1	3	0	0	0	
T0000015_ch1	1	0	0	1	
T0000016_ch1	2	1	1	0	
T0000017_ch1	1	1	1	1	
T0000018_ch1	4	2	0	0	
T0000019_ch1	0	0	0	1	
T0000020_ch1	16	2	0	8	
T0000021_ch1	4	1	0	5	
T0000022_ch1	0	0	1	4	
T0000023_ch1	0	0	0	3	
T0000024_ch1	0	0	0	4	
T0000025_ch1	0	0	0	4	
T0000026_ch1	0	0	0	4	
T0000027_ch1	0	0	0	2	
T0000028_ch1	0	0	0	3	
T0000029_ch1	0	0	0	2	
T0000030_ch1	0	0	0	1	
T0000031_ch1	0	0	0	12	
T0000032_ch1	1	0	0	3	
T0000033_ch1	0	0	0	4	
T0000034_ch1	2	0	0	3	
T0000035_ch1	2	0	0	1	
T0000036_ch1	6	0	1	4	
T0000037_ch1	0	0	0	3	
T0000038_ch1	0	0	0	2	
T0000039_ch1	0	0	0	1	
T0000040_ch1	3	0	0	1	
T0000041_ch1	2	0	0	1	
T0000042_ch1	3	1	0	1	
T0000043_ch1	0	0	0	1	
T0000044_ch1	3	0	0	0	
T0000045_ch1	0	0	0	2	
TOTAL		16	6	86	
P		0.1481	0.0556	0.7963	
