# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-28 16:43:35	Duration	
T0000000_ch1	10	1	0	0	2012-09-28 16:43:38	1.0	
T0000001_ch1	4	0	1	0	2012-09-28 16:43:44	0.6	
T0000002_ch1	1	0	1	0	2012-09-28 16:43:45	0.6	
T0000003_ch1	4	1	0	0	2012-09-28 16:43:46	7.7	
T0000004_ch1	1	0	0	1	2012-09-28 16:44:23	0.8	
T0000005_ch1	2	1	0	0	2012-09-28 16:46:06	3.7	
T0000006_ch1	6	2	0	0	2012-09-28 16:46:16	3.4	
T0000007_ch1	0	0	0	2	2012-09-28 16:46:19	0.6	
T0000008_ch1	0	0	0	1	2012-09-28 16:46:20	0.7	
T0000009_ch1	2	0	0	0	2012-09-28 16:47:11	0.6	
T0000010_ch1	1	0	0	0	2012-09-28 16:47:23	0.6	
T0000011_ch1	1	0	0	0	2012-09-28 16:47:36	0.6	
T0000012_ch1	4	2	0	0	2012-09-28 16:47:53	4.9	
T0000013_ch1	2	1	0	0	2012-09-28 16:48:47	4.1	
T0000014_ch1	3	0	0	0	2012-09-28 16:49:05	4.3	
T0000015_ch1	1	0	0	1	2012-09-28 16:49:25	0.8	
T0000016_ch1	2	1	1	0	2012-09-28 16:51:08	9.5	
T0000017_ch1	1	1	1	1	2012-09-28 16:53:30	5.6	
T0000018_ch1	4	2	0	0	2012-09-28 16:54:18	2.9	
T0000019_ch1	0	0	0	1	2012-09-28 16:54:22	0.7	
T0000020_ch1	16	2	0	8	2012-09-28 16:55:56	9.6	
T0000021_ch1	4	1	0	5	2012-09-28 16:56:07	1.4	
T0000022_ch1	0	0	1	4	2012-09-28 16:56:09	1.4	
T0000023_ch1	0	0	0	3	2012-09-28 16:56:11	0.6	
T0000024_ch1	0	0	0	4	2012-09-28 16:56:12	1.1	
T0000025_ch1	0	0	0	4	2012-09-28 16:56:15	0.9	
T0000026_ch1	0	0	0	4	2012-09-28 16:56:16	0.9	
T0000027_ch1	0	0	0	2	2012-09-28 16:56:20	0.6	
T0000028_ch1	0	0	0	3	2012-09-28 16:56:21	0.6	
T0000029_ch1	0	0	0	2	2012-09-28 16:56:24	0.6	
T0000030_ch1	0	0	0	1	2012-09-28 16:56:25	0.7	
T0000031_ch1	0	0	0	12	2012-09-28 16:56:27	4.0	
T0000032_ch1	1	0	0	3	2012-09-28 16:56:31	1.3	
T0000033_ch1	0	0	0	4	2012-09-28 16:56:35	1.0	
T0000034_ch1	2	0	0	3	2012-09-28 16:56:37	1.0	
T0000035_ch1	2	0	0	1	2012-09-28 16:56:40	0.6	
T0000036_ch1	6	0	1	4	2012-09-28 16:56:41	5.3	
T0000037_ch1	0	0	0	3	2012-09-28 16:56:46	1.8	
T0000038_ch1	0	0	0	2	2012-09-28 16:56:48	1.1	
T0000039_ch1	0	0	0	1	2012-09-28 16:56:51	0.6	
T0000040_ch1	3	0	0	1	2012-09-28 16:56:53	0.6	
T0000041_ch1	2	0	0	1	2012-09-28 16:56:54	0.6	
T0000042_ch1	3	1	0	1	2012-09-28 16:56:56	2.4	
T0000043_ch1	0	0	0	1	2012-09-28 16:56:59	0.7	
T0000044_ch1	3	0	0	0	2012-09-28 16:58:14	0.8	
T0000045_ch1	0	0	0	2	2012-09-28 16:58:17	1.2	
T0000046_ch1	3	0	0	0	2012-09-28 16:58:47	0.7	
T0000047_ch1	2	0	0	0	2012-09-28 16:58:51	0.6	
T0000048_ch1	3	0	0	0	2012-09-28 17:00:17	0.6	
T0000049_ch1	6	0	0	0	2012-09-28 17:00:29	1.7	
T0000050_ch1	3	0	0	0	2012-09-28 17:00:30	1.2	
T0000051_ch1	5	0	0	0	2012-09-28 17:00:38	0.6	
T0000052_ch1	2	1	0	2	2012-09-28 17:00:41	3.4	
T0000053_ch1	0	0	0	1	2012-09-28 17:00:46	0.6	
T0000054_ch1	4	0	0	0	2012-09-28 17:00:56	0.6	
T0000055_ch1	2	0	0	0	2012-09-28 17:01:36	0.6	
T0000056_ch1	2	0	0	0	2012-09-28 17:01:39	0.6	
T0000057_ch1	6	1	0	0	2012-09-28 17:02:20	1.3	
T0000058_ch1	8	1	1	1	2012-09-28 17:02:22	2.8	
T0000059_ch1	1	0	0	0	2012-09-28 17:02:28	0.8	
T0000060_ch1	5	0	0	0	2012-09-28 17:02:37	0.6	
T0000061_ch1	1	0	0	0	2012-09-28 17:03:00	0.6	
T0000062_ch1	2	0	0	0	2012-09-28 17:03:37	0.6	
T0000063_ch1	3	0	0	0	2012-09-28 17:03:39	1.0	
T0000064_ch1	4	0	0	0	2012-09-28 17:03:40	0.6	
T0000065_ch1	2	0	0	0	2012-09-28 17:05:08	0.6	
T0000066_ch1	1	0	0	0	2012-09-28 17:06:17	0.6	
T0000067_ch1	0	0	0	1	2012-09-28 17:06:20	0.9	
T0000068_ch1	8	1	0	1	2012-09-28 17:06:21	3.0	
T0000069_ch1	1	0	0	0	2012-09-28 17:06:36	0.7	
T0000070_ch1	2	0	0	0	2012-09-28 17:06:43	0.6	
T0000071_ch1	5	1	0	0	2012-09-28 17:06:46	1.6	
T0000072_ch1	6	0	0	0	2012-09-28 17:07:04	0.6	
T0000073_ch1	3	0	0	0	2012-09-28 17:07:12	0.8	
T0000074_ch1	1	0	0	0	2012-09-28 17:07:14	0.6	
T0000075_ch1	3	0	1	0	2012-09-28 17:07:25	0.6	
T0000076_ch1	2	0	0	0	2012-09-28 17:07:31	0.6	
T0000077_ch1	1	0	1	0	2012-09-28 17:07:32	0.6	
T0000078_ch1	0	0	2	0	2012-09-28 17:07:34	0.6	
T0000079_ch1	3	0	2	0	2012-09-28 17:07:35	0.8	
T0000080_ch1	3	0	0	0	2012-09-28 17:07:39	1.0	
T0000081_ch1	1	1	0	0	2012-09-28 17:08:03	1.0	
T0000082_ch1	1	0	0	0	2012-09-28 17:08:13	0.6	
T0000083_ch1	5	1	0	1	2012-09-28 17:08:59	3.0	
T0000084_ch1	0	1	0	0	2012-09-28 17:09:07	1.0	
T0000085_ch1	2	1	0	0	2012-09-28 17:09:59	0.8	
T0000086_ch1	2	0	0	1	2012-09-28 17:10:45	1.0	
T0000087_ch1	0	0	0	1	2012-09-28 17:11:38	0.6	
T0000088_ch1	0	0	0	2	2012-09-28 17:11:41	0.6	
T0000089_ch1	3	0	0	0	2012-09-28 17:12:13	0.8	
T0000090_ch1	2	0	0	0	2012-09-28 17:12:19	0.6	
T0000091_ch1	4	0	0	0	2012-09-28 17:12:20	0.6	
